Timestamp,Student ID?,Age?,Gender?,Current GPA?,Self - Study habit?,Phone service provider?,Playing Sport?,Like music?,Like working with numbers?,Participate in volunteer?,Ethnic? (Kinh - 1; Khác - 0),Trình độ học vấn của phụ huynh?
7/20/2024 7:36:15,1,20,Female,8.16,10-15 hrs/week,Viettel,No,Yes,Yes,Maybe,1,Đại học
7/20/2024 7:36:20,2,22,Male,6.5,0-5 hrs/week,Vinaphone,No,Yes,Yes,Maybe,1,Đại học
7/20/2024 7:36:30,3,21,Male,"7,3",10-15 hrs/week,Viettel,Yes,Yes,Yes,Yes,1,Khác
7/20/2024 7:37:10,4,20,Male,7.5,5-10 hrs/week,Others,No,Yes,Yes,No,1,Đại học
7/20/2024 7:37:13,5,18,Male,7.9,0-5 hrs/week,Viettel,Yes,Yes,Yes,Yes,1,Đại học
7/20/2024 7:37:27,6,20,Male,7.22,0-5 hrs/week,Viettel,Yes,Yes,Yes,Maybe,1,Khác
7/20/2024 7:38:00,7,22,Male,3,5-10 hrs/week,Viettel,Yes,Yes,Yes,Yes,1,Đại học
7/20/2024 7:38:45,8,21,Female,3.1,5-10 hrs/week,Vinaphone,No,Yes,No,Yes,1,THPT
7/20/2024 7:39:07,9,22,Male,7.2,5-10 hrs/week,Viettel,Yes,Yes,Yes,Yes,1,Đại học
7/20/2024 7:41:15,10,19,Male,6.2,15+ hrs/week,Viettel,Yes,Yes,Yes,Maybe,1,Khác
7/20/2024 7:41:34,11,22,Male,"7,3",0-5 hrs/week,Viettel,Yes,Yes,No,No,1,THPT
7/20/2024 7:42:58,12,21,Male,7.5,10-15 hrs/week,Viettel,Yes,Yes,Yes,Yes,1,THPT
7/20/2024 7:45:05,13,22,Male,7.4/10,5-10 hrs/week,Viettel,Yes,Yes,Yes,No,1,Sau đại học
7/20/2024 7:45:25,14,22,Male,8.2,0-5 hrs/week,Viettel,Yes,Yes,Yes,Yes,1,Đại học
7/20/2024 7:46:00,15,20,Male,8,0-5 hrs/week,Viettel,Yes,Yes,Yes,Maybe,1,Khác
7/20/2024 7:46:01,16,20,Male,8+,5-10 hrs/week,Viettel,Yes,Yes,Yes,No,1,Khác
7/20/2024 7:47:15,17,20,Female,8,0-5 hrs/week,Viettel,No,Yes,Yes,Maybe,1,Đại học
7/20/2024 7:48:06,18,21,Female,7,5-10 hrs/week,Viettel,Yes,Yes,Yes,Maybe,1,THPT
7/20/2024 7:48:47,19,21,Male,7.2,15+ hrs/week,Vinaphone,Yes,Yes,Yes,No,1,Đại học
7/20/2024 7:51:00,20,22,Male,7.05,5-10 hrs/week,Mobiphone,No,Yes,Yes,Maybe,1,Khác
7/20/2024 7:51:39,21,23,Female,"6,27",5-10 hrs/week,Mobiphone,Yes,Yes,No,Maybe,1,Đại học
7/20/2024 9:09:50,22,23,Male,3,0-5 hrs/week,Viettel,No,Yes,Yes,Maybe,1,Khác
7/20/2024 9:11:04,23,21,Male,7.69,5-10 hrs/week,Viettel,Yes,Yes,Yes,Maybe,1,Đại học
7/20/2024 9:11:13,24,21,Female,2.8,5-10 hrs/week,Vinaphone,Yes,Yes,Yes,Yes,1,Khác
7/20/2024 9:11:40,25,22,Male,7,10-15 hrs/week,Viettel,Yes,Yes,Yes,No,1,Sau đại học
7/20/2024 9:12:11,26,19,Male,"7,44",0-5 hrs/week,Viettel,Yes,Yes,Yes,No,1,THPT
7/20/2024 9:12:31,27,22,Male,6.56,0-5 hrs/week,Viettel,Yes,Yes,Yes,No,1,THPT
7/20/2024 9:17:37,28,20,Male,3,5-10 hrs/week,Viettel,Yes,Yes,Yes,No,1,THPT
